,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
35,35,voici,here is
36,36,pourrais,could
37,37,affaire,case
38,38,donner,give
39,39,type,type
40,40,leurs,their
41,41,donné,given
42,42,train,train
43,43,corps,body
44,44,endroit,place
45,45,yeux,eyes
46,46,façon,way
47,47,écoute,listen
48,48,dont,whose
49,49,trouve,find
50,51,perdu,lost
51,52,main,hand
52,53,première,first
53,54,côté,side
54,55,pouvoir,power
55,56,vieux,old
56,57,tiens,here
57,58,matin,morning
58,59,tellement,so much
59,60,enfant,child
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,pardon,sorry
64,65,venez,come
65,66,devant,in front of
66,67,vers,towards
67,68,minutes,minutes
68,69,demandé,request
69,70,chambre,bedroom
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,espère,hope
78,79,eau,water
79,80,attendez,Wait
80,81,parti,left
81,82,nouvelle,new
82,83,boulot,job
83,84,arrêter,Stop
84,85,dirait,would say
85,86,terre,Earth
86,87,donne,given
87,88,loin,far
88,89,fin,end
89,90,croire,believe
90,91,chérie,sweetheart
91,92,gros,large
92,93,plutôt,rather
93,94,aura,will have
94,95,filles,girls
95,96,jouer,to play
96,97,bureau,office
